,2023 2022,
Median remuneration of women:men (adjusted) (1),,
Overall,95%,95%
Executives (Vice-President/Senior Vice-President),93%,93%
Senior management,98%,98%
Management and experienced professionals,98%,98%
Administrative and operational employees,100%,99%
Median remuneration of BIPOC:white (adjusted) (1),,
Overall,99%,98%
Executives (Vice-President/Senior Vice-President),97%,92%
Senior management,102%,101%
Management and experienced professionals,101%,100%
Administrative and operational employees,100%,99%
